Source,Recording ID (if noted),Year,Date,Subpopulation (if specified),Province/State,Latitude,Longitude,Introductory Notes (if noted),Terminal Strophe type,Recordist
ARU,BONAMI_20090719_070400,2009,19/07/2009,,Ontario,48.04504,-85.92995,Ascending,Doublet,Jenn Foote
ARU,CASCADE_20090601_071700,2009,1/6/09,,Ontario,48.12117,-86.03338,Ascending,Doublet,Jenn Foote
ARU,HATCOVE_20090709_065400,2009,9/7/09,,Ontario,48.59406,-86.28141,Ascending,Doublet,Jenn Foote
ARU,HATTIE_20090602_064700,2009,2/6/09,,Ontario,48.57343,-86.27346,Ascending,Doublet,Jenn Foote
ARU,IMOGENE_20090614_064300,2009,14/06/2009,,Ontario,48.0236,-85.90396,Descending,Doublet,Jenn Foote
ARU,IMOGENE_20090615_064300,2009,15/06/2009,,Ontario,48.0236,-85.90396,Ascending,Doublet,Jenn Foote
ARU,NORTHSWALLOW_20090531_071800,2009,31/05/2009,,Ontario,48.22146,-86.11483,Ascending,Doublet,Jenn Foote
ARU,NORTHSWALLOW_20090601_071700,2009,1/6/09,,Ontario,48.22146,-86.11483,Descending,Doublet,Jenn Foote
ARU,OISEAU_20090602_071700,2009,2/6/09,,Ontario,48.38376,-86.1858,Ascending,Doublet,Jenn Foote
ARU,PLAYTER_20090603_071600,2009,3/6/09,,Ontario,48.57326,-86.24559,Descending,Doublet,Jenn Foote
ARU,PLAYTER_20090604_071600,2009,4/6/09,,Ontario,48.57326,-86.24559,Ascending,Doublet,Jenn Foote
ARU,PUKONT_20090708_065300,2009,8/7/09,,Ontario,47.99474,-85.88275,Ascending,Doublet,Jenn Foote
ARU,SWALLOW_20090527_065100,2009,27/05/2009,,Ontario,48.15306,-86.06153,Ascending,Doublet,Jenn Foote
ARU,W-GRAVEL_20090605_064500,2009,5/6/09,,Ontario,48.30508,-86.1554,Descending,Doublet,Jenn Foote
ARU,WILLOW_20090531_064800,2009,31/05/2009,,Ontario,48.50408,-86.24315,Descending,Doublet,Jenn Foote
ARU,BONAMI_20090714_065800,2009,14/07/2009,,Ontario,48.04504,-85.92995,Ascending,Triplet,Jenn Foote
ARU,CASCADE_20090602_071700,2009,2/6/09,,Ontario,48.12117,-86.03338,Ascending,Triplet,Jenn Foote
ARU,IMOGENE_20090704_065007,2009,4/7/09,,Ontario,48.0236,-85.90396,Ascending,Triplet,Jenn Foote
ARU,CASCADE_20100604_064600,2010,4/6/10,,Ontario,48.12117,-86.03338,Ascending,Doublet,Jenn Foote
ARU,NSWALLOW_20100523_065500,2010,23/05/2010,,Ontario,48.22146,-86.11483,Ascending,Doublet,Jenn Foote
ARU,PLA-HBR22_20100605_064500,2010,5/6/10,,Ontario,48.58184,-86.26102,Descending,Doublet,Jenn Foote
ARU,SWALLOW_20100530_071900,2010,30/05/2010,,Ontario,48.15306,-86.06153,Descending,Doublet,Jenn Foote
ARU,WGRAVEL_20100523_072500,2010,23/05/2010,,Ontario,48.30508,-86.1554,Ascending,Triplet,Jenn Foote
ARU,IMOGENE_20110702_064812,2011,2/7/11,,Ontario,48.0236,-85.90396,Descending,Doublet,Jenn Foote
ARU,NSWALLOW_20110702_071800,2011,2/7/11,,Ontario,48.22146,-86.11483,Descending,Doublet,Jenn Foote
ARU,PLA-HBR2_20110522_065700,2011,22/05/2011,,Ontario,48.58184,-86.26102,Ascending,Doublet,Jenn Foote
ARU,SM23_20110519_032000,2011,19/05/2011,,Ontario,46.5219,-84.3461,Ascending,Doublet,Jenn Foote
ARU,SM23_20110530_032000,2011,30/05/2011,,Ontario,46.5219,-84.3461,Descending,Doublet,Jenn Foote
ARU,SM24_20110506_034500,2011,6/5/11,,Ontario,46.5219,-84.3461,Ascending,Doublet,Jenn Foote
ARU,SM24_20110506_034500,2011,6/5/11,,Ontario,46.5219,-84.3461,Descending,Doublet,Jenn Foote
ARU,SM24_20110513_034500,2011,13/05/2011,,Ontario,46.5219,-84.3461,Ascending,Doublet,Jenn Foote
ARU,SM24_20110520_032000,2011,20/05/2011,,Ontario,46.5219,-84.3461,Ascending,Doublet,Jenn Foote
ARU,SM24_20110520_032000,2011,20/05/2011,,Ontario,46.5219,-84.3461,Ascending,Doublet,Jenn Foote
ARU,SM24_20110527_032000,2011,27/05/2011,,Ontario,46.5219,-84.3461,Ascending,Doublet,Jenn Foote
ARU,SWALLOW_20110704_064901,2011,4/7/11,,Ontario,48.15306,-86.06153,Monotone,Doublet,Jenn Foote
ARU,SM21_20110625_031000,2011,25/06/2011,,Ontario,46.5219,-84.3461,Descending,Triplet,Jenn Foote
ARU,SM24_20110520_032000,2011,20/05/2011,,Ontario,46.5219,-84.3461,Monotone,Triplet,Jenn Foote
ARU,WGRAVEL_20110527_072200,2011,27/05/2011,,Ontario,48.30508,-86.1554,Ascending,Triplet,Jenn Foote
ARU,CASCADE_20120530_054900,2012,30/05/2012,,Ontario,48.12117,-86.03338,Descending,Doublet,Jenn Foote
ARU,HATTIE_20120603_054600,2012,3/6/12,,Ontario,48.57343,-86.27346,Ascending,Doublet,Jenn Foote
ARU,IMOGENE_20120530_054900,2012,30/05/2012,,Ontario,48.0236,-85.90396,Ascending,Doublet,Jenn Foote
ARU,NSWALLOW_20120529_054900,2012,29/05/2012,,Ontario,48.22146,-86.11483,Ascending,Doublet,Jenn Foote
ARU,PLA-HBR2_20120605_054500,2012,5/6/12,,Ontario,48.58184,-86.26102,Ascending,Doublet,Jenn Foote
