,file.name,threshold_30,threshold_25,salvageable_30,tentative_score,new_threshold,trim_before,trim_after,recommendation,WTSP notes,resamp_useable,resamp_new_threshold,resamp_trim_before,resamp_trim_after,resamp_notes
1,ML15562_terminal_strophes.wav,yes,yes,,,NA,0,1.08585034,,,,NA,0,,
2,ML15563_terminal_strophes.wav,yes,use,,,30,0,0.955736961,,,,NA,0,,
3,ML15564_terminal_strophes.wav,yes,yes,,,NA,0,1.079387755,,,,NA,0,,
4,ML15565_terminal_strophes.wav,yes,use,,,30,0,1.451111111,,,,NA,0,,
5,ML15568_terminal_strophes.wav,yes,yes,,,NA,0,1.972403628,,,,NA,0,,
6,ML15570_terminal_strophes.wav,yes,yes,,,NA,0,1.37414966,,,,NA,0,,
7,ML15571_terminal_strophes.wav,yes,yes,,,NA,0,1.322426304,,,,NA,0,,
8,ML15572_terminal_strophes.wav,yes,yes,,,NA,0,1.517188209,,,,NA,0,,
9,ML15573_terminal_strophes.wav,yes,use,,,30,0,1.49185941,,,,NA,0,,inconsistent triplet (singer)
10,ML15574_terminal_strophes.wav,yes,yes,,,NA,0,0.923854875,,,,NA,0,,
11,ML15575_terminal_strophes.wav,yes,use,,,30,0,0.788049887,,,,NA,0,,
12,ML15576_terminal_strophes.wav,yes,yes,,,NA,0,0.980408163,,,,NA,0,,
13,ML15577_terminal_strophes.wav,trim,no,yes,,NA,0,0.96170068,,,no,NA,0,,"technically had two three-note strophes, but it had picked up the wrong split between notes (a giant amplitude drop in the first note of strophe 2)"
14,ML15578_terminal_strophes.wav,no,use,yes,,45,0,0.952721088,,,,37,0,,
15,ML15580_terminal_strophes.wav,yes,yes,,,NA,0,1.359931973,,,,NA,0,,
16,ML15581_terminal_strophes.wav,yes,yes,,,NA,0,0.975600907,,,,30,0,,missed duration (would come out cretic either way)
17,ML15582_terminal_strophes.wav,yes,use,,,30,0,0.862653061,,,,NA,0,,
18,ML15583_terminal_strophes.wav,no,no,no,,NA,0,1.470634921,,,no,NA,0,,
19,ML15584_terminal_strophes.wav,yes,yes,,,NA,0,1.143446712,,,,NA,0,,
20,ML15585_terminal_strophes.wav,no,no,no,NA,NA,0,4.148730159,,,no,NA,0,,
21,ML15590_terminal_strophes.wav,yes,use,,,30,0,1.573764172,,,,NA,0,,
22,ML15592_terminal_strophes.wav,yes,yes,,,NA,0,0.962244898,,,,NA,0,,
23,ML15593_terminal_strophes.wav,no,use,yes,,45,0,1.004376417,,,,40,0,,
24,ML15599_terminal_strophes.wav,yes,yes,,,NA,0,1.63292517,,,,NA,0,,
25,ML15600_terminal_strophes.wav,yes,use,,,30,0,1.030839002,,,,NA,0,,
26,ML15601_terminal_strophes.wav,yes,yes,,,NA,0,1.024693878,,,,NA,0,,
27,ML15602_terminal_strophes.wav,yes,yes,,,NA,0,2.181405896,,,,NA,0,,
28,ML15606_terminal_strophes.wav,yes,yes,,,NA,0,1.0369161,,,,NA,0,,
29,ML15607_terminal_strophes.wav,yes,yes,,,NA,0,2.045034014,,,,NA,0,,
30,ML15608_terminal_strophes.wav,yes,yes,,,NA,0,1.008390023,,,,NA,0,,
31,ML15610_terminal_strophes.wav,yes,yes,,,NA,0,2.889251701,,,,NA,0,,
32,ML18735_terminal_strophes.wav,yes,yes,,,NA,0,1.622040816,,,,NA,0,,
33,ML26122_terminal_strophes.wav,no,yes,yes,,NA,0,0.987868481,,,,NA,0,,
34,ML36984_terminal_strophes.wav,yes,yes,,,NA,0,1.633764172,,,,NA,0,,
35,ML66742_terminal_strophes.wav,no,use,yes,triplet?,45,0,1.006689342,ambiguous (amplitude drop between last two notes of triplet not as extreme)?,,,40,0,,"timer initially returned consistent two-note strophes, but it was an iamb and it looks like this should be a cretic"
36,ML66745_terminal_strophes.wav,yes,yes,,,NA,0,1.422517007,,,,NA,0,,
37,ML66752_terminal_strophes.wav,yes,yes,,,NA,0,1.051609977,,,,NA,0,,
38,ML66753_terminal_strophes.wav,no,yes,yes,,NA,0,1.440294785,,,,NA,0,,
39,ML66754_terminal_strophes.wav,no,no,no,,NA,0,1.469387755,,,no,NA,0,,
40,ML66756_terminal_strophes.wav,yes,yes,,,NA,0,2.05829932,,,,NA,0,,
41,ML66757_terminal_strophes.wav,yes,yes,,,NA,0,1.522743764,,,,NA,0,,
42,ML66758_terminal_strophes.wav,no,use,yes,,45,0,1.051587302,,,,NA,0,,
43,ML66759_terminal_strophes.wav,yes,yes,,,NA,0,1.568072562,,,,NA,0,,
44,ML66760_terminal_strophes.wav,yes,yes,,,NA,0,1.447981859,,,,NA,0,,
45,ML66761_terminal_strophes.wav,yes,yes,,,NA,0,2.002743764,,,,NA,0,,
46,ML66764_terminal_strophes.wav,no,yes,yes,,NA,0,1.50861678,,,,32,0,,inconsistent triplet (singer)
47,ML66765_terminal_strophes.wav,yes,yes,,,NA,0,1.516961451,,,,NA,0,,
48,ML66768_terminal_strophes.wav,yes,yes,,,NA,0,2.349229025,,,,NA,0,,
49,ML66769_terminal_strophes.wav,yes,yes,,,NA,0,1.056621315,,,,NA,0,,
50,ML66770_terminal_strophes.wav,yes,yes,,,NA,0,1.055011338,,,,NA,0,,
51,ML66771_terminal_strophes.wav,yes,yes,,,NA,0,1.082947846,,,,NA,0,,
52,ML66772_terminal_strophes.wav,no,yes,yes,,NA,0,1.07,,,,30,0,,
53,ML66774_terminal_strophes.wav,yes,yes,,,NA,0,1.102131519,,,,NA,0,,
54,ML66776_terminal_strophes.wav,yes,yes,,,NA,0,1.485102041,,,,NA,0,,
55,ML66777_terminal_strophes.wav,yes,yes,,,NA,0,1.061927438,,,,30,0,,missed duration
56,ML66778_terminal_strophes.wav,yes,yes,,,NA,0,1.002086168,,,,NA,0,,
57,ML66779_terminal_strophes.wav,yes,yes,,,NA,0,1.009750567,,,,NA,0,,
58,ML66780_terminal_strophes.wav,yes,yes,,,NA,0,1.590022676,,,,27,0,,missed duration
59,ML66781_terminal_strophes.wav,no,no,no,,NA,0,1.04276644,,,,15,0,,inconsistent triplet (singer? recording?)
60,ML66783_terminal_strophes.wav,yes,yes,,,NA,0,0.925986395,,,,NA,0,,
61,ML66784_terminal_strophes.wav,no,no,no,NA,NA,0,1.132471655,,,no,NA,0,,
62,ML66786_terminal_strophes.wav,yes,use,,,30,0,1.029297052,,,,NA,0,,
63,ML66788_terminal_strophes.wav,no,yes,yes,,NA,0,1.623900227,,,,25,0,,
64,ML66789_terminal_strophes.wav,yes,yes,,,NA,0,1.037981859,,,,NA,0,,
65,ML66791_terminal_strophes.wav,yes,yes,,,NA,0,1.051201814,,,,NA,0,,
66,ML66792_terminal_strophes.wav,yes,use,,,30,0,2.611247166,,,,NA,0,,
