file name,30_treshhold,25_resamp,30_salvageable,tentative_score,new_threshold,trim_before,trim_after,recommendation
ML15562_terminal_strophes.wav,yes,yes,,,,,,
ML15563_terminal_strophes.wav,yes,use,,,30,,,
ML15564_terminal_strophes.wav,yes,yes,,,,,,
ML15565_terminal_strophes.wav,yes,use,,,30,,,
ML15568_terminal_strophes.wav,yes,yes,,,,,,
ML15570_terminal_strophes.wav,yes,yes,,,,,,
ML15571_terminal_strophes.wav,yes,yes,,,,,,
ML15572_terminal_strophes.wav,yes,yes,,,,,,
ML15573_terminal_strophes.wav,yes,use,,,30,,,
ML15574_terminal_strophes.wav,yes,yes,,,,,,
ML15575_terminal_strophes.wav,yes,use,,,30,,,
ML15576_terminal_strophes.wav,yes,yes,,,,,,
ML15577_terminal_strophes.wav,trim,no,yes,,,,,
ML15578_terminal_strophes.wav,no,use,yes,,45,,,
ML15580_terminal_strophes.wav,yes,yes,,,,,,
ML15581_terminal_strophes.wav,yes,yes,,,,,,
ML15582_terminal_strophes.wav,yes,use,,,30,,,
ML15583_terminal_strophes.wav,no,no,no,,,,,
ML15584_terminal_strophes.wav,yes,yes,,,,,,
ML15585_terminal_strophes.wav,no,no,no,NA,,,,
ML15590_terminal_strophes.wav,yes,use,,,30,,,
ML15592_terminal_strophes.wav,yes,yes,,,,,,
ML15593_terminal_strophes.wav,no,use,yes,,45,,,
ML15599_terminal_strophes.wav,yes,yes,,,,,,
ML15600_terminal_strophes.wav,yes,use,,,30,,,
ML15601_terminal_strophes.wav,yes,yes,,,,,,
ML15602_terminal_strophes.wav,yes,yes,,,,,,
ML15606_terminal_strophes.wav,yes,yes,,,,,,
ML15607_terminal_strophes.wav,yes,yes,,,,,,
ML15608_terminal_strophes.wav,yes,yes,,,,,,
ML15610_terminal_strophes.wav,yes,yes,,,,,,
ML18735_terminal_strophes.wav,yes,yes,,,,,,
ML26122_terminal_strophes.wav,no,yes,yes,,,,,
ML36984_terminal_strophes.wav,yes,yes,,,,,,
ML66742_terminal_strophes.wav,no,use,yes,triplet?,45 (check),,,ambiguous (amplitude drop between last two notes of triplet not as extreme)?
ML66745_terminal_strophes.wav,yes,yes,,,,,,
ML66752_terminal_strophes.wav,yes,yes,,,,,,
ML66753_terminal_strophes.wav,no,yes,yes,,,,,
ML66754_terminal_strophes.wav,no,no,no,,,,,
