"","recording","Source","Year","Date","Subpopulation..if.specified.","Province.State","Latitude","Longitude","Introductory.Notes..if.noted.","Terminal.Strophe.type","Recordist","file.name","max_min_ratio","log_max_min_ratio","min_max_ratio","note_number","mid_to_long_ratio","max_mean_int","min_mean_int","med_note_durs","long_note_durs","short_note_durs","max_note_dur","max_onset_interval_dur","max_mean_dur","min_mean_dur","min_max_dur_ratio","remainder","PC1","PC2","PC3","PC4","poetry","prob_assignment"
"1","ML100883","Macaulay Library",1999,"31/05/1999","","New York",43.7669,-74.8172,"Descending","Triplet","Wilbur Hershberger","ML100883_terminal_strophes.wav",1.37152777777778,0.315925284765176,0.729113924050633,6,0.962765957446808,0.213403885933806,0.155595744680851,0.146681405141844,0.152354166666667,0.0551068262411348,0.158837322695035,0.307949911347518,0.119938386524823,0.116156545508274,0.968468468468468,0,0.648191831085729,-1.06386918124987,0.398498247073136,-0.427127412335135,1,0.999976724177909
"2","ML102373331","Macaulay Library",2018,"5/27/18","King's","Nova Scotia",45.0794,-64.5454,"Descending","Triplet","Devin Johnstone","ML102373331_terminal_strophes.wav",1.23404255319149,0.210295408836361,0.810344827586207,9,0.879656160458453,0.233915094339623,0.189551886792453,0.165084905660377,0.187669811320755,0.0645283018867924,0.201650943396226,0.282311320754717,0.154867924528302,0.119377358490566,0.770833333333333,0,0.443552742378009,-0.345650013339334,-0.288884468779795,0.278370770845628,1,0.996347527166704
"3","ML103667581","Macaulay Library",2018,"6/6/18","La Haute-Gaspésie","Quebec",48.9127,-66.1234,"Ascending","Triplet","Raphaël Nussbaumer","ML103667581_terminal_strophes.wav",1.19373219373219,0.177084696456272,0.837708830548926,6,0.843283582089552,0.226266057414292,0.189545074349442,0.18306490086741,0.217085811648079,0.0745219950433706,0.217085811648079,0.280267503097894,0.162004337050805,0.154444134655101,0.953333333333333,0,0.445648212273289,-0.0696957698917331,-0.585290783220864,0.415792987662675,1,0.987562533854888
"4","ML103860591","Macaulay Library",2018,"6/6/18","Saginaw","Michigan",43.3912,-83.9858,"Ascending","Doublet","Jason Parrish","WTSP10.wav",2.10975609756098,0.746572347233526,0.473988439306358,5,0.818840579710145,0.280816491168478,0.133103770380435,0.183423488451087,0.22400390625,0.133103770380435,0.274323624320652,0.300295091711957,0.236989639945652,0.0730447520380434,0.308219178082192,2,2.24958865302323,1.07970691247785,0.245890038042162,0.698715859630607,2,0.999909424255613
"5","ML104303161","Macaulay Library",2018,"6/13/18","Addison","Vermont",43.9579,-73.0113,"Descending","Doublet","Roy Pilcher","ML104303161_terminal_strophes.wav",1.57142857142857,0.451985123743057,0.636363636363636,5,0.951219512195122,0.215355086372361,0.137044145873321,0.0954414587332054,0.100335892514395,0.0407869481765835,0.143570057581574,0.225143953934741,0.141938579654511,0.049488163787588,0.348659003831418,2,-0.266595780517457,-0.671463950762985,1.48102588029411,0.495732415046388,2,0.99943743999258
"6","ML104716561","Macaulay Library",2018,"6/16/18","Hancock","Maine",44.3443,-68.0561,"Descending","Triplet","Phil Green","ML104716561_terminal_strophes.wav",1.208,0.188966099512623,0.827814569536424,6,0.987704918032787,0.244465883027523,0.202372419724771,0.195087012614679,0.197515481651376,0.0607117259174312,0.208848337155963,0.314081995412844,0.156501337920489,0.145708142201835,0.93103448275862,0,1.07298496693666,-1.04723894597972,-0.506982168105576,0.187954626463982,1,0.999997936582013
"7","ML104970781","Macaulay Library",2018,"5/9/18","Houghton","Michigan",46.5486,-88.9321,"Descending","Doublet","Damon Haan","ML104970781_terminal_strophes.wav",1.10454545454545,0.0994338969881873,0.905349794238683,11,0.62171052631579,0.157101503394762,0.142231813773036,0.076368786372454,0.122836566440349,0.0495656320724216,0.129301648884578,0.185871120271581,0.0918041707080504,0.0810829089880375,0.883215962441315,2,-2.28933106930584,0.750304234505749,0.316774225925011,0.13307919424955,3,0.954106621724272
"8","ML105213831","Macaulay Library",2018,"5/26/18","Hamilton","New York",43.9971,-74.7386,"Ascending","Triplet","Glen Chapman","ML105213831_terminal_strophes.wav",1.12669683257919,0.119290194946955,0.887550200803213,9,0.827361563517915,0.201172524810964,0.17855071479206,0.136808089161941,0.1653546589477,0.0538614524259609,0.171279418714556,0.273077563799622,0.130236991965973,0.104221910444234,0.800248138957816,0,-0.322791072682191,-0.375089670064337,-0.33169879490261,-0.0763271003603375,1,0.970622130394447
"9","ML105680731","Macaulay Library",2018,"6/16/18","Essex","New York",43.8147,-73.5869,"ascending","Triplet","Malinda Chapman","ML105680731_terminal_strophes.wav",1.14760914760915,0.137680776171334,0.871376811594203,9,0.977401129943503,0.22279049744898,0.194134473320578,0.186196889172336,0.190502019557823,0.0581192602040817,0.193730867346939,0.285753029336735,0.160150850340136,0.12592506377551,0.786290322580646,0,0.433423288750555,-1.08486214353319,-0.369950612462081,0.383447387977612,1,0.999991296856648
"10","ML105954241","Macaulay Library",2018,"6/29/18","Fort MacLeod","Alberta",49.4189,-114.1181,"Descending","Doublet","Pat Lucas","ML105954241_terminal_strophes.wav",2.7926267281106,1.02698263252885,0.358085808580858,7,0.823119777158774,0.326506006006006,0.116917167167167,0.159212087087087,0.193425175175175,0.157595720720721,0.279631381381381,0.339436936936937,0.257002252252252,0.0619607107107107,0.241090146750524,1,3.08550262335724,1.17838716913114,0.428916382513138,0.199131913242176,2,0.999988832637104
