,recording,Source,Year,Date,Subpopulation..if.specified.,Province.State,Latitude,Longitude,Introductory.Notes..if.noted.,Terminal.Strophe.type,Recordist,adjust.file.name,max_min_ratio,log_max_min_ratio,note_number
1,ML100883,Macaulay Library,1999,31/05/1999,,New York,43.7669,-74.8172,Descending,Triplet,Wilbur Hershberger,ML100883_terminal_strophes.wav,1.36101499423299,0.308230740679169,6
2,ML102373331,Macaulay Library,2018,5/27/18,King's,Nova Scotia,45.0794,-64.5454,Descending,Triplet,Devin Johnstone,ML102373331_terminal_strophes.wav,1.22598870056497,0.20374762096663,9
3,ML103667581,Macaulay Library,2018,6/6/18,La Haute-Gaspésie,Quebec,48.9127,-66.1234,Ascending,Triplet,Raphaël Nussbaumer,ML103667581_terminal_strophes.wav,1.16635514018692,0.153883621473421,7
4,ML103860591,Macaulay Library,2018,6/6/18,Saginaw,Michigan,43.3912,-83.9858,Ascending,Doublet,Jason Parrish,WTSP63.wav,1.08552631578947,0.082064953054304,5
5,ML104303161,Macaulay Library,2018,6/13/18,Addison,Vermont,43.9579,-73.0113,Descending,Doublet,Roy Pilcher,ML104303161_terminal_strophes.wav,1.61044176706827,0.476508530841862,5
6,ML104716561,Macaulay Library,2018,6/16/18,Hancock,Maine,44.3443,-68.0561,Descending,Triplet,Phil Green,ML104716561_terminal_strophes.wav,1.20247568523431,0.184382502613977,6
7,ML104970781,Macaulay Library,2018,5/9/18,Houghton,Michigan,46.5486,-88.9321,Descending,Doublet,Damon Haan,ML104970781_terminal_strophes.wav,2.21581196581197,0.795618912311881,8
8,ML105213831,Macaulay Library,2018,5/26/18,Hamilton,New York,43.9971,-74.7386,Ascending,Triplet,Glen Chapman,ML105213831_terminal_strophes.wav,1.12971342383107,0.121963993331357,9
9,ML105680731,Macaulay Library,2018,6/16/18,Essex,New York,43.8147,-73.5869,ascending,Triplet,Malinda Chapman,ML105680731_terminal_strophes.wav,1.14384508990318,0.134395472864926,9
10,ML105954241,Macaulay Library,2018,6/29/18,Fort MacLeod,Alberta,49.4189,-114.1181,Descending,Doublet,Pat Lucas,ML105954241_terminal_strophes.wav,2.78527607361963,1.02434699723459,7
11,ML105954241,Macaulay Library,2018,6/29/18,Fort MacLeod,Alberta,49.4189,-114.1181,Descending,Doublet,Pat Lucas,ML105954241_terminal_strophes.wav,2.78527607361963,1.02434699723459,7
12,ML106300881,Macaulay Library,2018,6/25/18,Caribou,British Columbia,51.9814,-122.6151,Descending,Doublet,John Woods,ML106300881_terminal_strophes.wav,1.5547263681592,0.441299561117381,6
13,ML106441141,Macaulay Library,2018,6/25/18,Penobscot,Maine,44.8674,-68.727,Descending,Triplet,Louise Venne,ML106441141_terminal_strophes.wav,1.12523020257827,0.11798763923766,6
14,ML106497711,Macaulay Library,2018,7/4/18,Whitehorse,Yukon,60.7342,-135.0666,Ascending,Doublet,Cameron Eckert,ML106497711_terminal_strophes.wav,1.23740053050398,0.213012832839388,8
15,ML106877561,Macaulay Library,2018,6/28/18,Vilas,Wisconsin,45.9912,-89.4603,Ascending,Doublet,Brian Collins,ML106877561_terminal_strophes.wav,1.21055718475073,0.191080736883837,12
16,ML106961551,Macaulay Library,2018,7/9/18,Middlesex,Ontario,42.972,-81.3248,Ascending,Doublet,Laure Neish,ML106961551_terminal_strophes.wav,2.13114754098361,0.756660586282271,5
17,ML107292,Macaulay Library,2000,26/03/2000,,Maryland,39.1667,-77.2083,Ascending,Triplet,Wilbur Hershberger,ML107292_terminal_strophes.wav,1.09586776859504,0.0915465321550208,9
